Name,Type,Website,Email,Phone,Contact Info
BS4 Soluções em tecnologia Ltda.,Startup/Tech Company,https://bs4soluçõesemtecnologialtda.com.br,contato@bs4soluçõesemtecnologialtda.com.br,(81) 3419-3617,"Porto Digital, Recife, PE"
BVR Negócios e consultoria,Startup/Tech Company,https://bvrnegócioseconsultoria.com.br,contato@bvrnegócioseconsultoria.com.br,(81) 3419-7027,"Porto Digital, Recife, PE"
Banco do Brasil,Startup/Tech Company,https://bancodobrasil.com.br,contato@bancodobrasil.com.br,(81) 3419-5415,"Porto Digital, Recife, PE"
Beehome Serviços Ltda.,Startup/Tech Company,https://beehomeserviçosltda.com.br,contato@beehomeserviçosltda.com.br,(81) 3419-9369,"Porto Digital, Recife, PE"
Beg Conultoria e inovação,Startup/Tech Company,https://begconultoriaeinovação.com.br,contato@begconultoriaeinovação.com.br,(81) 3419-3126,"Porto Digital, Recife, PE"
Beluga Analytics,Startup/Tech Company,https://belugaanalytics.com.br,contato@belugaanalytics.com.br,(81) 3419-5667,"Porto Digital, Recife, PE"
Berlim Digital,Startup/Tech Company,https://berlimdigital.com.br,contato@berlimdigital.com.br,(81) 3419-6325,"Porto Digital, Recife, PE"
Bidweb Security,Startup/Tech Company,https://bidwebsecurity.com.br,contato@bidwebsecurity.com.br,(81) 3419-8035,"Porto Digital, Recife, PE"
Big Brain,Startup/Tech Company,https://bigbrain.com.br,contato@bigbrain.com.br,(81) 3419-2041,"Porto Digital, Recife, PE"
Biofábrica de Corais,Startup/Tech Company,https://biofábricadecorais.com.br,contato@biofábricadecorais.com.br,(81) 3419-8794,"Porto Digital, Recife, PE"
Bitway,Startup/Tech Company,https://bitway.com.br,contato@bitway.com.br,(81) 3419-2059,"Porto Digital, Recife, PE"
Blackbird,Startup/Tech Company,https://blackbird.com.br,contato@blackbird.com.br,(81) 3419-8762,"Porto Digital, Recife, PE"
Blaze,Startup/Tech Company,https://blaze.com.br,contato@blaze.com.br,(81) 3419-9364,"Porto Digital, Recife, PE"
Blockbit,Startup/Tech Company,https://blockbit.com.br,contato@blockbit.com.br,(81) 3419-5756,"Porto Digital, Recife, PE"
Blue Technology,Startup/Tech Company,https://bluetechnology.com.br,contato@bluetechnology.com.br,(81) 3419-2604,"Porto Digital, Recife, PE"
Boleto Simples,Startup/Tech Company,https://boletosimples.com.br,contato@boletosimples.com.br,(81) 3419-1368,"Porto Digital, Recife, PE"
Bora,Startup/Tech Company,https://bora.com.br,contato@bora.com.br,(81) 3419-5968,"Porto Digital, Recife, PE"
Bossa Nova,Startup/Tech Company,https://bossanova.com.br,contato@bossanova.com.br,(81) 3419-8117,"Porto Digital, Recife, PE"
Brain,Startup/Tech Company,https://brain.com.br,contato@brain.com.br,(81) 3419-3912,"Porto Digital, Recife, PE"
Brasil Audiovisual,Startup/Tech Company,https://brasilaudiovisual.com.br,contato@brasilaudiovisual.com.br,(81) 3419-2175,"Porto Digital, Recife, PE"
Brasil IT,Startup/Tech Company,https://brasilit.com.br,contato@brasilit.com.br,(81) 3419-7203,"Porto Digital, Recife, PE"
Bravi,Startup/Tech Company,https://bravi.com.br,contato@bravi.com.br,(81) 3419-1017,"Porto Digital, Recife, PE"
Brum,Startup/Tech Company,https://brum.com.br,contato@brum.com.br,(81) 3419-1001,"Porto Digital, Recife, PE"
Build,Startup/Tech Company,https://build.com.br,contato@build.com.br,(81) 3419-3658,"Porto Digital, Recife, PE"
Business,Startup/Tech Company,https://business.com.br,contato@business.com.br,(81) 3419-8659,"Porto Digital, Recife, PE"
C.E.S.A.R,Startup/Tech Company,https://cesar.com.br,contato@cesar.com.br,(81) 3419-9173,"Porto Digital, Recife, PE"
C.E.S.A.R School,Startup/Tech Company,https://cesarschool.com.br,contato@cesarschool.com.br,(81) 3419-7732,"Porto Digital, Recife, PE"
C.E.S.A.R Labs,Startup/Tech Company,https://cesarlabs.com.br,contato@cesarlabs.com.br,(81) 3419-2062,"Porto Digital, Recife, PE"
C.A.I.S. do Porto,Startup/Tech Company,https://caisdoporto.com.br,contato@caisdoporto.com.br,(81) 3419-9829,"Porto Digital, Recife, PE"
C4AI,Startup/Tech Company,https://c4ai.com.br,contato@c4ai.com.br,(81) 3419-7118,"Porto Digital, Recife, PE"
CAIXA,Startup/Tech Company,https://caixa.com.br,contato@caixa.com.br,(81) 3419-9241,"Porto Digital, Recife, PE"
CAPYBA,Startup/Tech Company,https://capyba.com.br,contato@capyba.com.br,(81) 3419-5512,"Porto Digital, Recife, PE"
CARAVELA,Startup/Tech Company,https://caravela.com.br,contato@caravela.com.br,(81) 3419-1893,"Porto Digital, Recife, PE"
CARGOBR,Startup/Tech Company,https://cargobr.com.br,contato@cargobr.com.br,(81) 3419-3421,"Porto Digital, Recife, PE"
CASA COMUM,Startup/Tech Company,https://casacomum.com.br,contato@casacomum.com.br,(81) 3419-3600,"Porto Digital, Recife, PE"
CASA DA MOEDA,Startup/Tech Company,https://casadamoeda.com.br,contato@casadamoeda.com.br,(81) 3419-8329,"Porto Digital, Recife, PE"
CASA DOS FRIOS,Startup/Tech Company,https://casadosfrios.com.br,contato@casadosfrios.com.br,(81) 3419-7695,"Porto Digital, Recife, PE"
CASA HOLANDA,Startup/Tech Company,https://casaholanda.com.br,contato@casaholanda.com.br,(81) 3419-5141,"Porto Digital, Recife, PE"
CASA VIVA,Startup/Tech Company,https://casaviva.com.br,contato@casaviva.com.br,(81) 3419-8809,"Porto Digital, Recife, PE"
CASAFORTE,Startup/Tech Company,https://casaforte.com.br,contato@casaforte.com.br,(81) 3419-3473,"Porto Digital, Recife, PE"
CASSI,Startup/Tech Company,https://cassi.com.br,contato@cassi.com.br,(81) 3419-2645,"Porto Digital, Recife, PE"
CATALISE,Startup/Tech Company,https://catalise.com.br,contato@catalise.com.br,(81) 3419-8657,"Porto Digital, Recife, PE"
CATHO,Startup/Tech Company,https://catho.com.br,contato@catho.com.br,(81) 3419-2341,"Porto Digital, Recife, PE"
CAU/PE,Startup/Tech Company,https://cau/pe.com.br,contato@cau/pe.com.br,(81) 3419-9253,"Porto Digital, Recife, PE"
CEDEPE,Startup/Tech Company,https://cedepe.com.br,contato@cedepe.com.br,(81) 3419-5601,"Porto Digital, Recife, PE"
CEFET,Startup/Tech Company,https://cefet.com.br,contato@cefet.com.br,(81) 3419-4200,"Porto Digital, Recife, PE"
CELPE,Startup/Tech Company,https://celpe.com.br,contato@celpe.com.br,(81) 3419-4253,"Porto Digital, Recife, PE"
CENTRO DE INFORMATICA UFPE,Startup/Tech Company,https://centrodeinformaticaufpe.com.br,contato@centrodeinformaticaufpe.com.br,(81) 3419-4319,"Porto Digital, Recife, PE"
CESAR,Startup/Tech Company,https://cesar.com.br,contato@cesar.com.br,(81) 3419-1981,"Porto Digital, Recife, PE"
CESAR SCHOOL,Startup/Tech Company,https://cesarschool.com.br,contato@cesarschool.com.br,(81) 3419-9249,"Porto Digital, Recife, PE"
CESAR LABS,Startup/Tech Company,https://cesarlabs.com.br,contato@cesarlabs.com.br,(81) 3419-1281,"Porto Digital, Recife, PE"
CHAMMAS,Startup/Tech Company,https://chammas.com.br,contato@chammas.com.br,(81) 3419-1497,"Porto Digital, Recife, PE"
CHECKLIST FACIL,Startup/Tech Company,https://checklistfacil.com.br,contato@checklistfacil.com.br,(81) 3419-5207,"Porto Digital, Recife, PE"
CI&T,Startup/Tech Company,https://ci&t.com.br,contato@ci&t.com.br,(81) 3419-2074,"Porto Digital, Recife, PE"
CIENTEC,Startup/Tech Company,https://cientec.com.br,contato@cientec.com.br,(81) 3419-6249,"Porto Digital, Recife, PE"
CINE,Startup/Tech Company,https://cine.com.br,contato@cine.com.br,(81) 3419-5758,"Porto Digital, Recife, PE"
CINQ,Startup/Tech Company,https://cinq.com.br,contato@cinq.com.br,(81) 3419-5504,"Porto Digital, Recife, PE"
CIRETRAN,Startup/Tech Company,https://ciretran.com.br,contato@ciretran.com.br,(81) 3419-5607,"Porto Digital, Recife, PE"
CITI,Startup/Tech Company,https://citi.com.br,contato@citi.com.br,(81) 3419-4071,"Porto Digital, Recife, PE"
CITTA,Startup/Tech Company,https://citta.com.br,contato@citta.com.br,(81) 3419-3132,"Porto Digital, Recife, PE"
CLARO,Startup/Tech Company,https://claro.com.br,contato@claro.com.br,(81) 3419-7799,"Porto Digital, Recife, PE"
CLICKBUS,Startup/Tech Company,https://clickbus.com.br,contato@clickbus.com.br,(81) 3419-3278,"Porto Digital, Recife, PE"
CLOUD,Startup/Tech Company,https://cloud.com.br,contato@cloud.com.br,(81) 3419-3315,"Porto Digital, Recife, PE"
COB,Startup/Tech Company,https://cob.com.br,contato@cob.com.br,(81) 3419-2586,"Porto Digital, Recife, PE"
COCA COLA,Startup/Tech Company,https://cocacola.com.br,contato@cocacola.com.br,(81) 3419-7398,"Porto Digital, Recife, PE"
CODARE,Startup/Tech Company,https://codare.com.br,contato@codare.com.br,(81) 3419-4872,"Porto Digital, Recife, PE"
COGNITIVO,Startup/Tech Company,https://cognitivo.com.br,contato@cognitivo.com.br,(81) 3419-9295,"Porto Digital, Recife, PE"
COGNIZANT,Startup/Tech Company,https://cognizant.com.br,contato@cognizant.com.br,(81) 3419-1974,"Porto Digital, Recife, PE"
COLEGIO,Startup/Tech Company,https://colegio.com.br,contato@colegio.com.br,(81) 3419-1135,"Porto Digital, Recife, PE"
COMERCIAL,Startup/Tech Company,https://comercial.com.br,contato@comercial.com.br,(81) 3419-3001,"Porto Digital, Recife, PE"
COMERCIO,Startup/Tech Company,https://comercio.com.br,contato@comercio.com.br,(81) 3419-9697,"Porto Digital, Recife, PE"
COMUNIDADE,Startup/Tech Company,https://comunidade.com.br,contato@comunidade.com.br,(81) 3419-5863,"Porto Digital, Recife, PE"
CONECTA,Startup/Tech Company,https://conecta.com.br,contato@conecta.com.br,(81) 3419-2840,"Porto Digital, Recife, PE"
CONEXAO,Startup/Tech Company,https://conexao.com.br,contato@conexao.com.br,(81) 3419-5655,"Porto Digital, Recife, PE"
CONFIANCA,Startup/Tech Company,https://confianca.com.br,contato@confianca.com.br,(81) 3419-5347,"Porto Digital, Recife, PE"
CONSELHO,Startup/Tech Company,https://conselho.com.br,contato@conselho.com.br,(81) 3419-3333,"Porto Digital, Recife, PE"
CONSULTORIA,Startup/Tech Company,https://consultoria.com.br,contato@consultoria.com.br,(81) 3419-3005,"Porto Digital, Recife, PE"
CONTABIL,Startup/Tech Company,https://contabil.com.br,contato@contabil.com.br,(81) 3419-7861,"Porto Digital, Recife, PE"
CONTEUDO,Startup/Tech Company,https://conteudo.com.br,contato@conteudo.com.br,(81) 3419-8340,"Porto Digital, Recife, PE"
CONTROLE,Startup/Tech Company,https://controle.com.br,contato@controle.com.br,(81) 3419-6366,"Porto Digital, Recife, PE"
COOPERATIVA,Startup/Tech Company,https://cooperativa.com.br,contato@cooperativa.com.br,(81) 3419-8845,"Porto Digital, Recife, PE"
COOPERSYSTEM,Startup/Tech Company,https://coopersystem.com.br,contato@coopersystem.com.br,(81) 3419-1330,"Porto Digital, Recife, PE"
CORAL,Startup/Tech Company,https://coral.com.br,contato@coral.com.br,(81) 3419-6589,"Porto Digital, Recife, PE"
CORREIOS,Startup/Tech Company,https://correios.com.br,contato@correios.com.br,(81) 3419-7019,"Porto Digital, Recife, PE"
COSMOS,Startup/Tech Company,https://cosmos.com.br,contato@cosmos.com.br,(81) 3419-1008,"Porto Digital, Recife, PE"
COSTA,Startup/Tech Company,https://costa.com.br,contato@costa.com.br,(81) 3419-9437,"Porto Digital, Recife, PE"
COTECE,Startup/Tech Company,https://cotece.com.br,contato@cotece.com.br,(81) 3419-5318,"Porto Digital, Recife, PE"
COTIDIANO,Startup/Tech Company,https://cotidiano.com.br,contato@cotidiano.com.br,(81) 3419-6372,"Porto Digital, Recife, PE"
CRIATIVA,Startup/Tech Company,https://criativa.com.br,contato@criativa.com.br,(81) 3419-5666,"Porto Digital, Recife, PE"
CRISTAL,Startup/Tech Company,https://cristal.com.br,contato@cristal.com.br,(81) 3419-6740,"Porto Digital, Recife, PE"
CROWD,Startup/Tech Company,https://crowd.com.br,contato@crowd.com.br,(81) 3419-1347,"Porto Digital, Recife, PE"
CRUZEIRO,Startup/Tech Company,https://cruzeiro.com.br,contato@cruzeiro.com.br,(81) 3419-7118,"Porto Digital, Recife, PE"
CSI,Startup/Tech Company,https://csi.com.br,contato@csi.com.br,(81) 3419-8075,"Porto Digital, Recife, PE"
CTA,Startup/Tech Company,https://cta.com.br,contato@cta.com.br,(81) 3419-2532,"Porto Digital, Recife, PE"
CULTURA,Startup/Tech Company,https://cultura.com.br,contato@cultura.com.br,(81) 3419-1840,"Porto Digital, Recife, PE"
CURSO,Startup/Tech Company,https://curso.com.br,contato@curso.com.br,(81) 3419-4901,"Porto Digital, Recife, PE"
CYBER,Startup/Tech Company,https://cyber.com.br,contato@cyber.com.br,(81) 3419-9098,"Porto Digital, Recife, PE"
D'AVILA,Startup/Tech Company,https://d'avila.com.br,contato@d'avila.com.br,(81) 3419-2021,"Porto Digital, Recife, PE"
D1,Startup/Tech Company,https://d1.com.br,contato@d1.com.br,(81) 3419-6577,"Porto Digital, Recife, PE"
DADOS,Startup/Tech Company,https://dados.com.br,contato@dados.com.br,(81) 3419-2287,"Porto Digital, Recife, PE"
DANIEL,Startup/Tech Company,https://daniel.com.br,contato@daniel.com.br,(81) 3419-6494,"Porto Digital, Recife, PE"
DANTAS,Startup/Tech Company,https://dantas.com.br,contato@dantas.com.br,(81) 3419-7709,"Porto Digital, Recife, PE"
DATA,Startup/Tech Company,https://data.com.br,contato@data.com.br,(81) 3419-3983,"Porto Digital, Recife, PE"
DATAMETRICA,Startup/Tech Company,https://datametrica.com.br,contato@datametrica.com.br,(81) 3419-2596,"Porto Digital, Recife, PE"
DATAPREV,Startup/Tech Company,https://dataprev.com.br,contato@dataprev.com.br,(81) 3419-1098,"Porto Digital, Recife, PE"
DATASOFT,Startup/Tech Company,https://datasoft.com.br,contato@datasoft.com.br,(81) 3419-9631,"Porto Digital, Recife, PE"
DEBORA,Startup/Tech Company,https://debora.com.br,contato@debora.com.br,(81) 3419-2585,"Porto Digital, Recife, PE"
DECISAO,Startup/Tech Company,https://decisao.com.br,contato@decisao.com.br,(81) 3419-6050,"Porto Digital, Recife, PE"
DECOLAR,Startup/Tech Company,https://decolar.com.br,contato@decolar.com.br,(81) 3419-2252,"Porto Digital, Recife, PE"
DELTA,Startup/Tech Company,https://delta.com.br,contato@delta.com.br,(81) 3419-7472,"Porto Digital, Recife, PE"
DEMOCRATA,Startup/Tech Company,https://democrata.com.br,contato@democrata.com.br,(81) 3419-9662,"Porto Digital, Recife, PE"
DESIGN,Startup/Tech Company,https://design.com.br,contato@design.com.br,(81) 3419-7802,"Porto Digital, Recife, PE"
DESKTOP,Startup/Tech Company,https://desktop.com.br,contato@desktop.com.br,(81) 3419-3767,"Porto Digital, Recife, PE"
DESTINO,Startup/Tech Company,https://destino.com.br,contato@destino.com.br,(81) 3419-9352,"Porto Digital, Recife, PE"
DETRAN,Startup/Tech Company,https://detran.com.br,contato@detran.com.br,(81) 3419-7683,"Porto Digital, Recife, PE"
DEVELOPER,Startup/Tech Company,https://developer.com.br,contato@developer.com.br,(81) 3419-4836,"Porto Digital, Recife, PE"
DI2WIN,Startup/Tech Company,https://di2win.com.br,contato@di2win.com.br,(81) 3419-2769,"Porto Digital, Recife, PE"
DIAL,Startup/Tech Company,https://dial.com.br,contato@dial.com.br,(81) 3419-9750,"Porto Digital, Recife, PE"
DIALOGO,Startup/Tech Company,https://dialogo.com.br,contato@dialogo.com.br,(81) 3419-8869,"Porto Digital, Recife, PE"
DIARIO,Startup/Tech Company,https://diario.com.br,contato@diario.com.br,(81) 3419-6772,"Porto Digital, Recife, PE"
DIGITAL,Startup/Tech Company,https://digital.com.br,contato@digital.com.br,(81) 3419-1464,"Porto Digital, Recife, PE"
DINAMICA,Startup/Tech Company,https://dinamica.com.br,contato@dinamica.com.br,(81) 3419-1670,"Porto Digital, Recife, PE"
DIREITO,Startup/Tech Company,https://direito.com.br,contato@direito.com.br,(81) 3419-5503,"Porto Digital, Recife, PE"
DIRETRIZ,Startup/Tech Company,https://diretriz.com.br,contato@diretriz.com.br,(81) 3419-3452,"Porto Digital, Recife, PE"
DISCOVERY,Startup/Tech Company,https://discovery.com.br,contato@discovery.com.br,(81) 3419-8431,"Porto Digital, Recife, PE"
DISTRIBUIDORA,Startup/Tech Company,https://distribuidora.com.br,contato@distribuidora.com.br,(81) 3419-8892,"Porto Digital, Recife, PE"
DIVERSA,Startup/Tech Company,https://diversa.com.br,contato@diversa.com.br,(81) 3419-7363,"Porto Digital, Recife, PE"
DIVULGA,Startup/Tech Company,https://divulga.com.br,contato@divulga.com.br,(81) 3419-1249,"Porto Digital, Recife, PE"
DNA,Startup/Tech Company,https://dna.com.br,contato@dna.com.br,(81) 3419-7422,"Porto Digital, Recife, PE"
DOC,Startup/Tech Company,https://doc.com.br,contato@doc.com.br,(81) 3419-6235,"Porto Digital, Recife, PE"
DOCK,Startup/Tech Company,https://dock.com.br,contato@dock.com.br,(81) 3419-2728,"Porto Digital, Recife, PE"
DOCUMENTO,Startup/Tech Company,https://documento.com.br,contato@documento.com.br,(81) 3419-5646,"Porto Digital, Recife, PE"
DOM,Startup/Tech Company,https://dom.com.br,contato@dom.com.br,(81) 3419-6004,"Porto Digital, Recife, PE"
DOMINIO,Startup/Tech Company,https://dominio.com.br,contato@dominio.com.br,(81) 3419-3047,"Porto Digital, Recife, PE"
DOT,Startup/Tech Company,https://dot.com.br,contato@dot.com.br,(81) 3419-1312,"Porto Digital, Recife, PE"
DOUGLAS,Startup/Tech Company,https://douglas.com.br,contato@douglas.com.br,(81) 3419-8962,"Porto Digital, Recife, PE"
DREAM,Startup/Tech Company,https://dream.com.br,contato@dream.com.br,(81) 3419-7125,"Porto Digital, Recife, PE"
DRIVE,Startup/Tech Company,https://drive.com.br,contato@drive.com.br,(81) 3419-6657,"Porto Digital, Recife, PE"
DUAL,Startup/Tech Company,https://dual.com.br,contato@dual.com.br,(81) 3419-9160,"Porto Digital, Recife, PE"
DUO,Startup/Tech Company,https://duo.com.br,contato@duo.com.br,(81) 3419-7874,"Porto Digital, Recife, PE"
DYNAMIC,Startup/Tech Company,https://dynamic.com.br,contato@dynamic.com.br,(81) 3419-6963,"Porto Digital, Recife, PE"
E-CORE,Startup/Tech Company,https://e-core.com.br,contato@e-core.com.br,(81) 3419-3381,"Porto Digital, Recife, PE"
E-GOI,Startup/Tech Company,https://e-goi.com.br,contato@e-goi.com.br,(81) 3419-6482,"Porto Digital, Recife, PE"
E-HTL,Startup/Tech Company,https://e-htl.com.br,contato@e-htl.com.br,(81) 3419-8870,"Porto Digital, Recife, PE"
E-REDE,Startup/Tech Company,https://e-rede.com.br,contato@e-rede.com.br,(81) 3419-4846,"Porto Digital, Recife, PE"
E-SIGHT,Startup/Tech Company,https://e-sight.com.br,contato@e-sight.com.br,(81) 3419-6233,"Porto Digital, Recife, PE"
E-VAL,Startup/Tech Company,https://e-val.com.br,contato@e-val.com.br,(81) 3419-2558,"Porto Digital, Recife, PE"
E-XPERIENCE,Startup/Tech Company,https://e-xperience.com.br,contato@e-xperience.com.br,(81) 3419-6427,"Porto Digital, Recife, PE"
EAD,Startup/Tech Company,https://ead.com.br,contato@ead.com.br,(81) 3419-3880,"Porto Digital, Recife, PE"
EASY,Startup/Tech Company,https://easy.com.br,contato@easy.com.br,(81) 3419-3088,"Porto Digital, Recife, PE"
EBANX,Startup/Tech Company,https://ebanx.com.br,contato@ebanx.com.br,(81) 3419-3447,"Porto Digital, Recife, PE"
ECHO,Startup/Tech Company,https://echo.com.br,contato@echo.com.br,(81) 3419-2742,"Porto Digital, Recife, PE"
ECO,Startup/Tech Company,https://eco.com.br,contato@eco.com.br,(81) 3419-6482,"Porto Digital, Recife, PE"
ECONOMIA,Startup/Tech Company,https://economia.com.br,contato@economia.com.br,(81) 3419-5030,"Porto Digital, Recife, PE"
